dsr1,dsr2,dr1r2,Pr2,msr1,msr2,mr1D,mr2D,Zr1r2,pr1min
0.452431246,0.252186686,0.284944928,0.594582935,2,2,1,3,0.190010552,0.2157
0.687049248,0.317395384,0.675293514,0.100550255,2,2,1,3,0.275780496,0.3367
0.798589066,0.89194686,0.123374999,0.470032937,3,1,3,3,0.323689616,0.01
0.305878775,0.533534837,0.728434634,0.243057372,1,2,3,3,0.34676509,0.0265
0.757937785,0.594389984,0.615343142,0.833659296,2,1,3,1,0.312788384,0.01
0.21813637,0.696117212,0.421936407,0.265632019,2,1,2,1,0.234881678,0.0111
0.190072265,0.623372983,0.701608558,0.123450919,2,2,1,2,0.223766132,0.2839
0.74991655,0.516194196,0.199102271,0.751861477,1,3,1,1,0.105503721,0.0342
0.454017351,0.550413528,0.676011217,0.102169761,1,2,3,3,0.319200484,0.0155
0.853213283,0.370194002,0.276395867,0.147493901,2,3,1,3,0.17522942,0.0683
0.88234333,0.752698659,0.311095182,0.202642391,1,3,1,1,0.430021345,0.01
0.802487749,0.522620839,0.606790041,0.248864654,1,1,3,1,0.370510945,0.01
0.401006688,0.444357198,0.386954397,0.173993598,2,1,2,1,0.174697304,0.01
0.171842441,0.127732396,0.88083343,0.103301457,2,3,1,1,0.197566434,1
0.271657737,0.717858909,0.884905626,0.127248102,1,3,2,1,0.449596689,0.109
0.17955878,0.560108355,0.465609465,0.697146995,2,3,2,3,0.445739899,0.0639
0.568499114,0.654444515,0.422755196,0.110832245,1,1,3,2,0.153675134,0.01
0.727523847,0.654794797,0.459354232,0.476288229,2,3,1,2,0.382350538,0.054
0.709595553,0.255965967,0.543510331,0.384194684,1,2,2,1,0.214076633,0.043
0.550160761,0.110094117,0.181206502,0.309376591,1,1,1,3,0.28365773,0.0529
0.203652055,0.15968157,0.733393609,0.347595675,3,2,2,3,0.267445248,0.5611
0.567468973,0.675747794,0.560814356,0.276635157,2,3,2,1,0.19341525,0.0474
0.519150155,0.310811853,0.138785583,0.238527498,3,3,2,3,0.385420971,0.0122
0.694685867,0.565169642,0.316504338,0.661111423,1,1,2,1,0.491220008,0.01
0.267213782,0.5761547,0.575624424,0.816051726,3,3,1,2,0.338675071,0.2795
0.242577342,0.675434557,0.649766403,0.393001806,3,2,2,2,0.283826316,0.0485
0.22189079,0.204264928,0.569567859,0.819289427,2,3,3,2,0.409776931,0.1948
0.323366588,0.667762489,0.843740311,0.49972646,3,2,3,1,0.140301232,0.032
0.764856217,0.48380038,0.386358269,0.263692188,2,3,1,3,0.142530016,0.1332
0.486854598,0.745684439,0.526883372,0.280280353,3,2,1,1,0.435659754,0.0452
0.25904283,0.162749025,0.208975407,0.404529608,3,2,1,1,0.288673935,0.2861
0.44854936,0.857019735,0.814825294,0.344138003,3,2,2,2,0.111963827,0.0441
0.615856437,0.484270727,0.525601726,0.200830018,1,1,1,2,0.311333936,0.0221
0.829100844,0.773354501,0.693241598,0.179800334,2,2,2,1,0.322831973,0.01
0.329966572,0.851116188,0.200535016,0.502955659,3,3,2,2,0.482780337,0.01
0.84943919,0.240633349,0.525398226,0.328860251,3,3,2,1,0.383764461,0.0507
0.485032281,0.823390483,0.673848395,0.695678648,3,3,1,2,0.494634406,0.1024
0.85868733,0.683297154,0.608645467,0.391535561,2,3,2,1,0.406538687,0.01
0.226482131,0.174402084,0.564187364,0.310875826,1,3,1,3,0.304084217,1
0.566904571,0.351641564,0.542599819,0.347678904,3,1,2,2,0.352326927,0.01
0.642131388,0.521254537,0.544346771,0.862005719,2,3,2,1,0.388397153,0.0375
0.860350399,0.505472243,0.783395613,0.543368171,2,3,1,1,0.192801964,0.3147
0.117386506,0.63740738,0.154124816,0.398507619,2,1,1,3,0.233922291,0.01
0.695769278,0.227781211,0.550023672,0.413466847,3,3,3,1,0.166427434,0.0595
0.717918956,0.311820806,0.683445962,0.25137827,1,3,3,3,0.466583593,0.0276
0.764090448,0.704743358,0.651405774,0.624458517,1,1,3,2,0.162801736,0.01
0.72245977,0.564458352,0.529120615,0.527107624,2,1,2,1,0.240050684,0.01
0.563985037,0.352855509,0.171455137,0.675651327,2,2,2,1,0.115983784,0.0122
0.281097687,0.59250445,0.259967977,0.304993226,3,1,3,2,0.191816376,0.01
0.138609551,0.404944371,0.606807006,0.674312668,3,3,3,1,0.291819287,0.1057
0.69320024,0.63094938,0.648059247,0.329621438,3,3,2,3,0.297743478,0.0353
0.553144748,0.719526614,0.688992317,0.343901753,1,1,3,3,0.19805543,0.01
0.277027447,0.545561033,0.787323804,0.120345969,2,3,1,1,0.496192424,0.4698
0.20363294,0.115852803,0.76468838,0.190997887,2,3,1,3,0.28958692,1
0.684865925,0.392591429,0.813519052,0.267276699,2,2,1,1,0.3395228,0.2795
0.183003913,0.74984738,0.792490151,0.686866582,2,1,2,1,0.267027123,0.0199
0.546132054,0.433308853,0.6699747,0.218117913,1,3,2,2,0.429929585,0.0958
0.324447232,0.855682165,0.574132894,0.553331147,1,2,1,3,0.47593618,0.0518
0.534374045,0.100752945,0.769121172,0.738728301,2,1,1,3,0.48938387,0.428
0.625141652,0.147498458,0.329117353,0.572756158,1,2,2,1,0.279006675,0.0606
0.10941745,0.876222458,0.781831736,0.297979109,3,1,2,3,0.119426716,0.0254
0.874711125,0.408212767,0.602626803,0.368434933,1,2,1,3,0.493385904,0.0441
0.714771008,0.16641014,0.879132282,0.872521003,3,2,2,3,0.168056874,0.1849
0.67960415,0.715306831,0.45837928,0.122423379,3,3,1,2,0.423758236,0.0463
0.568909595,0.394635629,0.591178368,0.297939235,2,2,2,3,0.126718283,0.0595
0.620103654,0.442686866,0.841539749,0.691487203,2,3,3,2,0.396314354,0.0375
0.758309098,0.888980875,0.492592369,0.763064833,2,2,2,1,0.151067724,0.01
0.234810365,0.132949032,0.693375704,0.52208163,1,3,3,2,0.165404199,0.7646
0.311681894,0.555207215,0.760692796,0.539731973,3,1,1,2,0.485522543,0.0584
0.589318577,0.659163717,0.438529212,0.700710492,3,1,1,2,0.359646219,0.0111
0.785256345,0.136302211,0.869652222,0.151828975,3,1,1,3,0.492695738,0.1024
0.186743792,0.111960858,0.873692411,0.257535606,1,2,1,2,0.215534227,1
0.268591819,0.111066045,0.355370681,0.101595452,1,1,3,3,0.455305165,0.0155
0.859629749,0.190383796,0.745665938,0.180398735,2,3,3,3,0.331094177,0.0265
0.844669462,0.33068801,0.114938801,0.351305647,3,1,3,3,0.113829246,0.01
0.440386839,0.401687795,0.19083205,0.264511477,2,3,1,2,0.183150063,0.0683
0.805223273,0.480712832,0.717140729,0.101798416,2,1,1,1,0.488775938,0.01
0.665788626,0.329212862,0.4930949,0.360001536,2,2,2,2,0.132598225,0.0397
0.585319828,0.222495434,0.72183541,0.634353843,3,2,3,3,0.106056107,0.0474
0.526050254,0.532060891,0.576162744,0.141017794,2,3,3,1,0.365650387,0.0232
0.300583934,0.291572238,0.289547352,0.38489795,1,1,1,2,0.11272197,0.0771
0.31585292,0.228917126,0.146395983,0.857778462,1,3,2,1,0.23814694,0.0463
0.149632021,0.264607407,0.474873734,0.229121771,2,2,1,2,0.170285047,0.9065
0.478035953,0.858734282,0.726511958,0.869520436,2,2,2,2,0.154681761,0.0298
0.452352474,0.270489146,0.804305854,0.798232142,1,1,1,2,0.245488104,0.1871
0.145271324,0.61321805,0.354347807,0.626777973,1,3,2,2,0.435171192,0.0353
0.310668739,0.251540757,0.495972311,0.145218848,1,1,2,1,0.435662014,0.0221
0.562335665,0.885435595,0.833656157,0.833804786,2,1,1,2,0.346383388,0.0199
0.567654625,0.724016277,0.317059077,0.598924584,2,1,2,3,0.416765067,0.01
0.247241395,0.871733792,0.313782871,0.341199036,3,2,2,1,0.299432748,0.0111
0.142523789,0.835105085,0.596774376,0.705983245,1,3,1,1,0.391869761,0.1354
0.727161271,0.448401118,0.316943915,0.141906601,3,3,1,2,0.302730842,0.065
0.816846287,0.23531067,0.813843516,0.446359495,1,3,2,1,0.295331093,0.1706
0.673576874,0.742749726,0.620772454,0.390515048,3,3,2,1,0.313014946,0.0254
0.739544115,0.83271557,0.392516916,0.740718677,2,3,3,3,0.310615782,0.01
0.656124857,0.524518934,0.279409013,0.40874436,1,1,3,2,0.112415538,0.01
0.219623336,0.430050076,0.861660265,0.479371066,1,1,3,1,0.296483609,0.0144
0.356811443,0.518787994,0.892210396,0.873565105,2,2,3,1,0.46856534,0.0265
0.564347608,0.284959771,0.756216421,0.31969234,3,3,2,3,0.485195551,0.2245
0.445815974,0.752761097,0.543994288,0.371046911,1,2,2,2,0.482448774,0.0155
