dsr1,dr1r2,Pr2,msr1,msr2,mr1d,mr2d,mr1r2,zeta,minPr1,minDsr2
0.27692,0.33232,0.097132,2,2,1,3,1,0.41173,0.9998,0.021
0.38156,0.83586,0.7952,3,1,3,1,2,0.093436,0.012,0.264
0.27603,0.77579,0.6551,2,2,2,3,3,0.081306,0.9998,0.04
0.22381,0.82589,0.2551,1,2,3,2,2,0.25298,0.067,0.262
0.14929,0.48026,0.84072,3,3,3,2,1,0.12714,0.1836,0.196
0.25108,0.73123,0.47329,3,1,3,2,1,0.17583,0.1627,0.01
0.7572,0.82761,0.38045,3,2,2,3,1,0.28391,0.3805,0.047
0.12991,0.69818,0.46939,1,1,2,3,3,0.005951,0.9998,0.001
0.16565,0.72139,0.26297,2,1,3,1,2,0.32704,0.0142,0.265
0.91334,0.40666,0.82582,3,3,2,1,1,0.26917,0.001,0.9
0.0046342,0.84244,0.8173,3,1,2,1,3,0.43435,0.2089,0.061
0.91065,0.42729,0.2638,1,2,1,3,2,0.072769,0.9998,0.035
0.85303,0.73544,0.35095,1,3,2,2,1,0.25662,0.012,0.546
0.23995,0.59209,0.049654,2,1,1,1,1,0.45136,0.2254,0.128
0.36925,0.37784,0.78025,3,2,2,2,3,0.19487,0.9998,0.034
0.95613,0.70265,0.05978,1,2,1,1,3,0.11739,0.0043,0.9
0.64912,0.81221,0.64775,2,3,1,1,1,0.22546,0.2342,0.518
0.18351,0.55794,0.62562,2,1,3,1,3,0.39011,0.0197,0.118
0.44678,0.51444,0.50851,1,3,3,2,2,0.25539,0.0406,0.312
0.53283,0.54551,0.939,3,3,2,2,3,0.43797,0.3805,0.118
0.47092,0.46134,0.84431,2,2,2,1,1,0.097382,0.023,0.545
0.92338,0.60115,0.18482,1,1,1,2,1,0.45244,0.9547,0.005
0.5949,0.48355,0.60284,3,2,1,1,2,0.35561,0.353,0.162
0.50786,0.35986,0.26248,1,1,1,1,2,0.40051,0.9998,0.015
0.23728,0.62119,0.96309,1,3,3,2,2,0.2734,0.1462,0.215
0.39552,0.55721,0.98798,2,1,2,2,3,0.018869,0.9998,0.004
0.33536,0.77581,0.13655,3,3,3,1,1,0.36061,0.0142,0.9
0.90372,0.92365,0.33416,1,2,2,3,3,0.34937,0.0197,0.143
0.90472,0.72691,0.61767,1,1,3,2,2,0.42972,0.001,0.026
0.028674,0.64293,0.16793,3,2,1,1,3,0.48934,0.9998,0.169
0.042431,0.35001,0.52165,3,2,2,1,3,0.048365,0.0912,0.407
0.51859,0.98108,0.64899,3,3,3,1,2,0.40017,0.012,0.9
0.17339,0.57366,0.83138,2,2,3,1,1,0.40168,0.0197,0.441
0.62797,0.50439,0.43165,1,2,2,2,2,0.0077436,0.1209,0.329
0.48969,0.53765,0.95163,3,1,1,2,1,0.46017,0.9998,0.001
0.94274,0.59242,0.98305,1,3,1,2,2,0.15073,0.9525,0.137
0.17813,0.38961,0.99908,3,2,2,3,2,0.085561,0.9998,0.014
0.36892,0.62251,0.98164,1,2,3,3,1,0.078202,0.9206,0.024
0.48202,0.38443,0.58951,3,2,2,1,2,0.11309,0.0175,0.53
0.26528,0.87706,0.98266,2,2,1,1,2,0.36512,0.9998,0.192
0.81776,0.48251,0.59436,2,2,1,3,3,0.011256,0.9998,0.052
0.094229,0.71897,0.47092,2,1,1,1,2,0.34797,0.9998,0.034
0.53086,0.75811,0.40762,3,2,1,1,1,0.40999,0.2936,0.27
0.61096,0.84516,0.42345,3,3,2,1,1,0.045412,0.0582,0.9
0.45742,0.91276,0.51805,1,1,1,2,2,0.47181,0.9998,0.003
